Tweet,0,1,2,3
"['<user>', '<user>', 'shut', 'up', 'hashtags', 'are', 'cool', 'offended']",0.0,0.0,1.0,0.0
"['it', 'makes', 'me', 'so', 'fucking', 'irate', 'jesus', 'nobody', 'is', 'calling', 'ppl', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']",0.0,0.0,0.0,1.0
"['lol', 'adam', 'the', 'bull', 'with', 'his', 'fake', 'outrage']",0.0,1.0,0.0,0.0
"['<user>', 'passed', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'car', 'crash', 'as', 'he', 'was', 'leaving', 'an', 'atl', 'strip', 'club', 'thats', 'rough', 'stuff']",1.0,0.0,0.0,0.0
"['<user>', 'lol', 'wow', 'i', 'was', 'gonna', 'say', 'really', 'haha', 'have', 'you', 'seen', 'chris', 'or', 'nah', 'you', 'dont', 'even', 'snap', 'me', 'anymore', 'dude']",0.0,1.0,0.0,0.0
"['i', 'need', 'a', 'sushi', 'date', '<user>', 'an', 'olive', 'guarded', 'date', '<user>', 'and', 'a', 'rockys', 'date']",1.0,0.0,0.0,0.0
"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'are', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hineykissing', 'ad', 'i', 'saw', 'about', 'you']",1.0,0.0,0.0,0.0
"['<user>', 'nnlike', 'a', 'rabid', 'dog', 'i', 'pulled', 'out', 'the', 'backs', 'of', 'my', 'cupboards', 'looking', 'for', 'a', 'bakewellfound', 'a', 'french', 'fancie', 'amp', 'a', 'mini', 'batternburg', 'winner']",1.0,0.0,0.0,0.0
"['<user>', 'its', 'very', 'telling', 'that', 'racist', 'bigots', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'thats', 'worse', 'than', 'being', 'a', 'racist', 'bigot']",0.0,0.0,1.0,0.0
"['follow', 'up', 'follow', 'through', 'be', 'relentless', 'success']",1.0,0.0,0.0,0.0
"['<user>', 'dude', 'the', 'new', 'madden', 'haha']",1.0,0.0,0.0,0.0
"['<user>', '<user>', '<user>', '<user>', 'if', 'he', 'cant', 'come', 'to', 'my', 'muma', 'th', 'after', 'k', 'tweets', 'then', 'why', 'should', 'i', 'bitter', 'soreloser']",0.0,0.0,1.0,0.0
"['lol', 'little', 'things', 'like', 'that', 'make', 'me', 'so', 'angry', 'x']",0.0,0.0,1.0,0.0
"['one', 'more', 'day', 'tiff', 'one', 'more', 'day']",1.0,0.0,0.0,0.0
"['me', 'being', 'on', 'my', 'dean', 'really', 'saving', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'dont', 'snap', 'nomore', 'amp', 'it', 'take', 'so', 'much', 'out', 'of', 'me']",1.0,0.0,0.0,0.0
"['who', 'knew', 'softballs', 'could', 'sting', 'so', 'bad', 'jimmy', 'fallon', 'has', 'been', 'under', 'a', 'lot', 'of', 'heat', 'for', 'his', 'ampldquosoftballamprdquo', 'donald', 'trump', 'interview']",0.0,1.0,0.0,0.0
"['women', 'dont', 'like', 'girls', 'because', 'we', 'resent', 'them', 'for', 'looking', 'so', 'greatwe', 'wish', 'we', 'still', 'looked', 'like', 'that', 'washed']",0.0,0.0,1.0,0.0
"['<user>', 'wheres', 'your', 'outrage', 'that', 'your', 'party', 'nominated', 'a', 'lying', 'corrupt', 'person', 'and', 'received', 'donations', 'from', 'nations', 'who', 'support', 'terror']",0.0,0.0,0.0,1.0
"['i', 'swear', 'i', 'got', 'anger', 'issues', 'but', 'my', 'heart', 'big', 'af']",0.0,0.0,1.0,0.0
"['tierney', 'reaches', 'a', 'deep', 'cross', 'to', 'the', 'back', 'post', 'and', 'plays', 'it', 'back', 'across', 'but', 'the', 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']",0.0,1.0,0.0,0.0
"['this', 'is', 'a', 'joke', '<user>', 'fuming']",0.0,0.0,0.0,1.0
"['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plans', 'for', 'me', 'without', 'actually', 'including', 'me', 'in', 'this', 'process', 'rage']",0.0,0.0,0.0,1.0
"['be', 'quick', 'to', 'listen', 'slow', 'to', 'speak', 'and', 'slow', 'to']",1.0,0.0,0.0,0.0
"['<user>', 'itll', 'be', 'like', 'burning', 'rap', 'albums', 'theyll', 'have', 'to', 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', 'to', 'get', 'rid', 'of', 'it']",0.0,1.0,0.0,0.0
"['<user>', '<user>', 'haha', 'actually', 'after', 'the', 'doggies', 'im', 'barracking', 'for', 'anyone', 'but', 'gws', 'bitter']",0.0,0.0,1.0,0.0
"['<user>', 'yuuuhh', 'plus', 'clin', 'ep', 'and', 'prevmed', 'ugghhh', 'hahaha', 'bitter']",0.0,0.0,1.0,0.0
"['my', 'wasp', 'sting', 'is', 'so', 'itchy']",1.0,0.0,0.0,0.0
"['grateful', 'for', 'all', 'the', 'hungry', 'people', 'in', 'my', 'life', 'hungry', 'to', 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'has', 'it', 'better']",0.0,1.0,0.0,0.0
"['<user>', 'don', 'king', 'is', 'an', 'insult', 'to', 'the', 'intelligence', 'of', 'the', 'black', 'community', 'what', 'are', 'these', 'people', 'thinking']",0.0,0.0,1.0,0.0
"['<user>', 'girouds', 'beard', 'is', 'making', 'me', 'angry']",0.0,0.0,0.0,1.0
"['<user>', 'ill', 'be', 'honest', 'i', 'hope', 'that', 'annoying', 'southern', 'bint', 'with', 'the', 'look', 'at', 'me', 'pout', 'goes', 'out', 'this', 'week', 'selasi', 'ftw']",0.0,0.0,0.0,1.0
"['<user>', 'well', 'not', 'archie', 'no', 'offense', 'but', 'hes', 'kinda', 'old']",0.0,1.0,0.0,0.0
