Tweet,0,1,2,3,4,5,6,7
"['shut', 'up', 'hashtags', 'are', 'cool']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"['it', 'makes', 'me', 'so', 'fucking', 'irate', 'jesus', 'nobody', 'is', 'calling', 'ppl', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"['lol', 'adam', 'the', 'bull', 'with', 'his', 'fake', 'outrage']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"['passed', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'car', 'crash', 'as', 'he', 'was', 'leaving', 'an', 'atl', 'strip', 'club', 'thats', 'rough', 'stuff']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"['lol', 'wow', 'i', 'was', 'gonna', 'say', 'really', 'haha', 'have', 'you', 'seen', 'chris', 'or', 'nah', 'you', 'dont', 'even', 'snap', 'me', 'anymore', 'dude']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"['i', 'need', 'a', 'sushi', 'date', 'an', 'olive', 'guarded', 'date', 'and', 'a', 'rockys', 'date']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'are', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hineykissing', 'ad', 'i', 'saw', 'about', 'you']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"['nnlike', 'a', 'rabid', 'dog', 'i', 'pulled', 'out', 'the', 'backs', 'of', 'my', 'cupboards', 'looking', 'for', 'a', 'bakewellfound', 'a', 'french', 'fancie', 'amp', 'a', 'mini', 'batternburg']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"['its', 'very', 'telling', 'that', 'racist', 'bigots', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'thats', 'worse', 'than', 'being', 'a', 'racist', 'bigot']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"['follow', 'up', 'follow', 'through', 'be']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"['dude', 'the', 'new', 'madden', 'haha']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"['if', 'he', 'cant', 'come', 'to', 'my', 'muma', 'th', 'after', 'k', 'tweets', 'then', 'why', 'should', 'i']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"['lol', 'little', 'things', 'like', 'that', 'make', 'me', 'so', 'angry', 'x']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"['one', 'more', 'day', 'tiff', 'one', 'more', 'day']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
